105(1)	0	13	2	1	1	1	1	1	0.91	9.52		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.0	0.0	0.0	84.1	69.9	79.3	107.7	0.0	98.0	11.3	0.7	10.6	2.1	-1.4	2.1	67.5	67.5	55.2	45.2	57.5	57.5	53.6	12.3	86.7	0.0	0.0	31.1	16.3	209.5	0.35
105(2)	0	13	2	1	1	1	1	1	0.35	5.37		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.0	-5.3	-5.3	83.7	73.9	89.1	130.9	0.0	98.7	0.0	-4.7	4.7	-1.2	-3.5	-1.2	111.7	111.7	111.7	104.9	104.9	104.9	62.4	0.0	98.7	0.0	0.0	61.05	42.52	332.3	0.55
105(3)	0	13	2	1	1	1	1	1	0.67	8.28		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.3	-1.9	-1.9	84.7	72.6	78.7	132.5	0.0	98.0	6.3	-1.6	7.9	0.7	-2.3	0.7	89.0	89.0	69.1	60.6	80.4	80.4	60.2	19.8	91.8	0.0	0.0	43.27	40.11	269.5	0.45
105(4)	0	13	2	1	1	1	1	1	0.91	9.87		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.0	-0.4	-0.4	83.9	70.1	80.4	126.3	0.0	98.1	10.9	0.6	10.3	2.0	-1.4	2.0	71.2	71.2	43.2	33.4	61.5	61.5	62.1	28.0	87.2	0.0	0.0	25.589065593	27.42767838	220.2	0.37
105(5)	0	13	2	1	1	1	1	1	0.88	9.30		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.0	0.0	0.0	84.2	70.0	78.4	135.0	0.0	98.0	11.2	0.6	10.5	2.0	-1.4	2.0	68.6	68.6	29.9	19.9	58.6	58.6	64.7	38.7	86.9	0.0	0.0	20.87	32.66	212.1	0.35
105(6)	0	13	2	1	1	1	1	1	0.70	8.92		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.3	-3.0	-3.0	84.0	72.3	78.2	125.0	0.0	98.1	4.4	-2.7	7.1	0.0	-2.8	0.0	92.9	92.9	83.8	75.5	84.6	84.6	62.0	9.1	93.7	0.0	0.0	44.974619769	31.80786313	279.6	0.47
105(7)	0	13	2	1	1	1	1	1	0.62	8.08		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.1	-6.0	-6.0	80.9	69.5	80.5	123.1	0.0	98.3	0.4	-5.2	5.6	-1.2	-4.0	-1.2	96.1	96.1	91.5	83.5	88.1	88.1	53.1	4.6	97.9	0.0	0.0	56.65	39.6	285.2	0.48
105(8)	0	13	2	1	1	1	1	1	0.60	8.04		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.7	-2.8	-2.8	84.4	73.2	77.2	121.9	0.0	97.8	4.1	-2.6	6.7	0.0	-2.7	0.0	97.3	97.3	94.6	86.8	89.5	89.5	57.2	2.7	93.7	0.0	0.0	53.47	34.98	292.9	0.49
105(9)	0	13	2	1	1	1	1	1	0.93	10.16		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.0	0.0	0.0	84.8	71.1	80.9	119.9	0.0	98.1	10.8	0.6	10.2	2.0	-1.4	2.0	73.4	73.4	53.6	44.0	63.8	63.8	57.1	19.8	87.3	0.0	0.0	32.63	26.42	226.3	0.38
105(10)	0	13	2	1	1	1	1	1	0.85	12.22		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.0	-5.7	-5.7	82.6	72.2	85.6	126.3	0.0	98.6	0.0	-5.0	5.0	-1.3	-3.8	-1.3	106.0	106.0	106.0	98.7	98.7	98.7	63.4	0.0	98.6	0.0	0.0	55.02	35.27	316.0	0.53
105(11)	0	13	2	1	1	1	1	1	0.81	9.31		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.4	-1.0	-1.0	84.1	71.0	73.7	104.6	0.0	97.8	8.7	-0.5	9.2	1.3	-1.8	1.3	78.7	78.7	78.3	69.1	69.5	69.5	49.6	0.4	89.1	0.0	0.0	44.74	20.27	241.2	0.40
105(12)	0	13	2	1	1	1	1	1	0.74	8.33		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.8	-0.8	-0.8	84.5	71.2	71.3	114.1	0.0	97.4	8.1	-1.0	9.1	1.1	-2.1	1.1	77.6	77.6	67.2	57.9	68.3	68.3	49.8	10.4	89.3	0.0	0.0	43.74	28.87	236.7	0.39
105(13)	0	13	2	1	1	1	1	1	0.67	7.94		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.3	-4.7	-4.7	80.7	68.1	71.0	123.4	0.0	98.0	3.3	-3.8	7.2	-0.4	-3.4	-0.4	84.1	84.1	69.5	60.7	75.3	75.3	51.9	14.6	94.6	0.0	0.0	47.244431397	37.89898614	251.6	0.42
105(14)	0	13	2	1	1	1	1	1	0.82	9.49		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.4	-2.1	-2.1	83.1	70.2	71.5	119.9	0.0	97.8	7.2	-1.4	8.6	0.8	-2.3	0.8	80.5	80.5	66.3	57.2	71.4	71.4	47.7	14.2	90.7	0.0	0.0	48.17	37.89	244.4	0.41
105(15)	0	13	2	1	1	1	1	1	0.52	5.75		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.0	-0.2	-0.2	84.5	70.8	76.6	125.8	0.0	98.1	10.8	0.6	10.2	1.9	-1.4	1.9	73.1	73.1	47.0	37.5	63.5	63.5	52.0	26.0	87.3	0.0	0.0	37.39	37.52	225.5	0.38
105(16)	0	13	2	1	1	1	1	1	0.59	6.66		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.2	0.0	0.0	85.1	71.8	77.7	127.2	0.0	98.0	10.2	0.4	9.8	1.8	-1.4	1.8	76.3	76.3	51.5	42.2	66.9	66.9	49.3	24.7	87.7	0.0	0.0	43.01	42.41	234.7	0.39
105(17)	0	13	2	1	1	1	1	1	0.65	8.24		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.4	-3.5	-3.5	83.0	71.2	75.1	124.5	0.0	98.0	4.0	-3.1	7.0	-0.1	-3.0	-0.1	91.4	91.4	81.6	73.2	83.1	83.1	62.2	9.8	94.1	0.0	0.0	43.42	30.69	274.3	0.46
105(18)	0	13	2	1	1	1	1	1	0.82	8.65		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	0.0	-0.2	-0.2	83.4	68.7	79.9	130.7	0.0	98.0	11.6	0.7	10.9	2.1	-1.4	2.1	63.6	63.6	25.2	14.9	53.3	53.3	65.1	38.4	86.4	0.0	0.0	16.11	26.64	197.3	0.33
103	0	36	4	1	1	1	1	1	0.13	2.19		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	98.0	93.0	93.0	181.0	163.0	119.0	101.0	0.0	0.0	0.0	-4.0	4.0	0.0	-4.0	0.0	81.0	81.0	76.0	64.0	70.0	70.0	65.0	5.3	0.0	0.0	0.0	36	10	215.5	0.36
102(1)	1	2	2	1	1	6	1	1	0.21	3.64		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	32.4	69.9	69.9	158.3	150.6	128.1	61.7	0.0	64.9	64.9	39.2	25.7	20.4	18.8	20.4	38.8	38.8	38.8	29.1	28.4	28.4	28.4	0.0	0.0	0.0	0.8	43.4	N.A.	151.1	0.25
102(2)	1	2	2	1	1	6	1	1	0.12	3.56		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0			0.0	-45.1	48.0	48.0	142.4	138.4	122.7	76.8	0.0	44.3	44.3	94.1	-49.8	47.5	46.6	47.5	61.8	61.8	61.8	55.5	54.4	54.4	54.4	0.0	0.0	0.0	0.0	31.4	N.A.	207.0	0.41
